,id,name,city,experience,type,address,published_at,archived,employer,contacts,schedule,employer_trusted,professional_roles
78,54386585,Финансист-аналитик,Актау,От 1 года до 3 лет,Открытая,,2022-03-28T15:02:41+0300,False,Yasira Group,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
79,53908970,Финансовый аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-31T06:18:03+0300,False,Interoil-Marketing & Services Kazakhstan,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
80,54269644,Системный Аналитик,Алматы,Нет опыта,Открытая,,2022-03-24T07:29:42+0300,False,"Банк Хоум Кредит, ДБ АО",,fullDay,True,Аналитик
81,54332691,Teamlead отдела IT аналитики,Алматы,От 3 до 6 лет,Открытая,,2022-03-25T21:14:09+0300,False,Микрофинансовая организация KMF(КМФ),,fullDay,True,Аналитик
82,54316535,Менеджер аналитик,Шымкент,От 1 года до 3 лет,Открытая,,2022-03-28T13:40:41+0300,False,ATAMIRAS.S,,fullDay,True,Фармацевт-провизор
83,54288151,Старший аналитик Отдел кредитного анализа,Алматы,От 1 года до 3 лет,Открытая,,2022-03-24T14:19:42+0300,False,Народный банк Казахстана,,fullDay,True,Аудитор
84,51829663,Аналитик бизнес-процессов,Семей,От 3 до 6 лет,Открытая,,2022-03-24T06:19:35+0300,False,ЭЙКОС,,fullDay,True,Аналитик
85,54319332,Аналитик-маркетолог,Алматы,От 1 года до 3 лет,Открытая,,2022-03-25T13:17:29+0300,False,Биржевые технологии,,fullDay,True,Другое
86,54311764,Системный аналитик Colvir,Алматы,От 1 года до 3 лет,Открытая,,2022-03-25T10:38:42+0300,False,Народный банк Казахстана,,fullDay,True,Аналитик
87,53992646,Data-аналитик (Аналитик-технолог),Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-17T14:08:03+0300,False,РГП на ПХВ Инженерно-технический центр Управления Делами Президента Республики Казахстан,,fullDay,True,Аналитик
88,54088160,Аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-19T16:49:52+0300,False,Жакиева А.А,,flexible,True,Аналитик
89,54024636,Бизнес-аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-18T07:29:13+0300,False,ASTER AUTO,,fullDay,True,Аналитик
90,53992565,Бизнес-аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-17T14:06:21+0300,False,Тамерлан Моторс,,fullDay,True,Аналитик
91,54031248,Системный аналитик/PM,Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-18T10:02:17+0300,False,Рэбэл,,fullDay,True,Аналитик
92,53822497,Аналитик,Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-14T15:00:47+0300,False,Smart Remont,,fullDay,True,Аналитик
93,53998384,Бизнес-аналитик,Павлодар,От 1 года до 3 лет,Открытая,,2022-03-17T15:41:07+0300,False,Тамерлан Моторс,,fullDay,True,Аналитик
94,54026786,Аналитик/data-журналист,Алматы,От 3 до 6 лет,Открытая,,2022-03-18T08:35:09+0300,False,Первое Кредитное бюро,,fullDay,True,Другое
95,54034139,Аналитик подразделения Коммерческих Финансов,Алматы,От 1 года до 3 лет,Открытая,,2022-03-18T10:46:55+0300,False,JTI Kazakhstan,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
96,51188567,Бизнес-аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-16T14:13:48+0300,False,Globerce Inc.,,fullDay,True,Аналитик
97,54270310,Аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-24T07:58:32+0300,False,Евразийское коллекторское агентство,,fullDay,True,Аналитик
